text,rating,Review_Length
Cheap! The necklace broke the first time I clasped it.,1,54
The balls are too small and very hard to get in as cartlidge piercings.,1,71
"Material is super weird, thin and flimsy. Grace Karan brand is so much better!",1,78
only received a star because I had to rate it.only received a star because I had to rate it.,1,92
"Runs very small, had to return would not come up my hips and the jacket was not coming up my arms 😑 this is not a xl",1,116
Completely see through.,1,23
"these leggings ripped within hours of wearing them.  Right at the crotch too...not something I would order again.  On the positive side, they are super soft, but that does me no good if they rip...",1,197
I wish I could return these masks.  The M/L size isn't realistic for a man.  The material is thin and cheap.  The ear straps pull on my ears.  Oakley face masks fit better and made of better material.  Buying sports masks outside of Amazon.,1,240
First day wearing it and it’s all torn apart on the inside,1,58
Don’t be deceived by the words 6 pack! It is a single pair of socks.,1,68
"This dress is cute but you can see the pads on the top, the fabric is see-threw.",1,80
Do not order if you want them within a certain time frame!,1,58
Cheap junk…not at all what it looks like…don’t buy it…I’m asking for a refund,1,77
Ripped the first time I used it. Just awful!,1,44
"The second hat was supposed to be a red color, but instead it was a cheesy looking mauve color. And the cat head was like a sticker and not embroidered like my first hat order.",1,176
"These are NOT computer glasses!  They are just cheap reading glasses, not designed for anything more than 8 inches from your face.  What a waste of time and money!",1,163
I am beyond happy and satisfied with this product! It is true to picture. I am super excited and can’t wait to see the person receiving its face.,1,145
It's not that hard to measure and get sizes right. The chart is not accurate and for workout clothes fitting is important. Do better.,1,133
These slippers came with stitching coming out.  They looked worn and dirty. My granddaughter was so disappointed,1,112
These are extremely flimsy and look nothing like the picture.  Unable to get ahold of seller and don't want to return for fear of going to shipping site.,1,153
"No me agradaron, son muy blandas y quedan un poco para afuera.",1,62
Arrived broken and not surprised. Cheap and flimsy.,1,51
The lock was broken and i really needed it so I couldn't send it back disappointed 😞,1,84
"Horrible.  The lens of the glasses are so poorly manufactured, I can’t use them.",1,80
"I sent it back.  The dress was too clingy and almost see-through.  I thought it would hang and be a bit more flattering.  I am a size 14 and ordered an XL, and it looked terrible.  Skip it!",1,189
